centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2704;142;11;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2857
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2744;93;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2853
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;24;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;27
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;3311;19;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3331
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;3258;21;     ;     ;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3280
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;3338;25;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3365
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3264;13;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3277
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3232;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3237
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3174;62;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3239
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2949;131;5;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3087
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2969;71;5;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3046
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;Deambuladores;     ;152;9;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;161
Gran Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;Lactantes;27;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;27
